box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
7791,1,6.98012429668480650e-01,1,1.44095545070000007e+04,8.59647775569426820e+00,1.11906055623592771e+01,8.94867516547890873e-02,1.60000000000000000e+01,1.19559339836595768e+00
7831,1,2.08422796963906762e+01,0,1.44165718290000004e+04,9.12528513138766861e+00,1.05173470506645792e+01,1.56598254924232766e-01,1.60000000000000000e+01,1.19559339836595768e+00
7871,1,1.31835004734444645e+01,1,1.44277626369999998e+04,8.40855013885558122e+00,1.15269431278096928e+01,7.94307629261435943e-02,1.60000000000000000e+01,1.19559339836595768e+00
7911,1,2.78658697297978009e+01,1,1.44390933440000008e+04,8.74195531387880820e+00,1.09148951251082185e+01,1.00219306087554860e-01,1.60000000000000000e+01,1.19559339836595768e+00
7951,1,1.51140303229643536e+00,1,1.44511895590000004e+04,8.89011459451156760e+00,1.08118711934257643e+01,1.51590736045462582e-01,1.60000000000000000e+01,1.19559339836595768e+00
7991,1,1.71135781092749610e+01,1,1.44642808580000001e+04,8.33149163525456338e+00,1.16320255218898847e+01,8.44696744889142925e-02,1.60000000000000000e+01,1.19559339836595768e+00
8031,1,6.73719336589833517e+00,1,1.44937514699999992e+04,8.54424250301046051e+00,1.12232147041586696e+01,1.01661995428658475e-01,1.60000000000000000e+01,1.19559339836595768e+00
8071,1,5.44216863964516406e+00,1,1.45047842240000009e+04,8.75396033035014298e+00,1.09245226536233027e+01,1.53988111793362414e-01,1.60000000000000000e+01,1.19559339836595768e+00
8111,1,1.52557201079172984e+01,2,1.46146770280000001e+04,8.33239553641941733e+00,1.16081327542446235e+01,9.15891468955351284e-02,1.60000000000000000e+01,1.19559339836595768e+00
8151,1,3.72136175461839969e-01,2,1.47291759650000004e+04,8.35373675305057262e+00,1.15639401350815039e+01,1.05134271058221512e-01,1.60000000000000000e+01,1.19559339836595768e+00
8191,1,6.15577035716495402e+00,1,1.47456589110000004e+04,8.68368736606792524e+00,1.11036087118305762e+01,1.43620463804091075e-01,1.60000000000000000e+01,1.19559339836595768e+00
8231,1,1.29290195930524447e+01,2,1.48556981450000003e+04,8.33650935707449925e+00,1.15829616491734395e+01,9.87812215717444597e-02,1.60000000000000000e+01,1.19559339836595768e+00
8271,1,1.16558345871844260e+01,2,1.49564051870000003e+04,8.16524304231999842e+00,1.19432350734804604e+01,1.07257022457342754e-01,1.60000000000000000e+01,1.19559339836595768e+00
8311,1,2.37468990063198504e+00,2,1.51102089209999995e+04,8.45106852420594734e+00,1.14817150880952425e+01,1.58272551791487442e-01,1.60000000000000000e+01,1.19559339836595768e+00
8351,1,9.55210978235561470e+00,2,1.53096474670000007e+04,8.39257900094928289e+00,1.15508600792395217e+01,9.84958553334495390e-02,1.60000000000000000e+01,1.19559339836595768e+00
8391,1,2.56793998437255269e+01,2,1.56580963539999993e+04,8.28822907569579037e+00,1.18648474241332771e+01,1.18795773724775525e-01,1.60000000000000000e+01,1.19559339836595768e+00
