box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
6528,1,1.42694814919018285e+01,1,1.02112817880000002e+04,8.26825029517126708e+00,1.17929343712748977e+01
6576,1,8.69298051190553167e+00,2,1.06050520049999996e+04,8.12024146303535588e+00,1.19581726369060384e+01
6624,1,1.52485346633532437e+01,1,1.06849844489999996e+04,8.40954021425715581e+00,1.15231015488996889e+01
6672,1,2.24269019175076778e+01,1,1.07656808419999998e+04,8.21846837694958054e+00,1.19054719734072538e+01
6720,1,4.17660146727456549e-02,2,1.09799764130000003e+04,8.06954012671830689e+00,1.20820811530193399e+01
6768,1,1.42080931197902487e+01,1,1.10596913069999991e+04,8.34322020088461080e+00,1.16627806565696357e+01
6816,1,1.38972204950666907e+01,1,1.11393689410000006e+04,8.18414814898575216e+00,1.20255266938941858e+01
6864,1,1.79157336208732687e+01,1,1.11741533550000004e+04,8.04140677707287566e+00,1.21845243043709264e+01
6912,1,6.02093068137584453e-01,1,1.12332565900000009e+04,8.29177078651074950e+00,1.17962302227958311e+01
6960,1,7.32804918080215373e+00,2,1.16256817709999996e+04,8.01994984668731981e+00,1.21838199779014698e+01
7008,1,1.30612515796599666e+01,1,1.16605046579999998e+04,8.05043436978150950e+00,1.22082537041384125e+01
7056,1,4.85688697195554653e+00,1,1.17399195049999998e+04,8.27803519319619951e+00,1.18616508815610135e+01
7104,1,1.15112420563520033e+01,1,1.18193999179999992e+04,8.22028300100308407e+00,1.18687308096429067e+01
7152,1,6.27994336195952485e+00,1,1.18785794860000005e+04,8.22796611591252791e+00,1.19140227561180048e+01
7200,1,1.08360338961130225e+01,1,1.19590162299999993e+04,8.32557214707294868e+00,1.17387592451158937e+01
7248,1,5.73977777184750337e+00,1,1.20384633979999999e+04,8.27271120241117686e+00,1.17357443016029883e+01
7296,1,1.48728173583257792e+01,1,1.21179579529999992e+04,8.27847119335451431e+00,1.17891828606170037e+01
7344,1,8.72300430617096367e+00,1,1.21985991090000007e+04,8.38486637994220096e+00,1.16137156645290940e+01
7392,1,1.40522349246744191e+01,1,1.22780637370000004e+04,8.34548730895948943e+00,1.16072656303693176e+01
7440,1,3.64522284161193966e+00,1,1.23370624110000008e+04,8.34645860272691031e+00,1.16728154130576520e+01
7488,1,3.98357501268948155e+00,1,1.24165737210000007e+04,8.45516093949252756e+00,1.14950492723712205e+01
7536,1,2.73999197893773783e+00,1,1.24513757399999995e+04,8.28815242612795444e+00,1.16514359720205380e+01
7584,1,2.23954799292900368e+01,1,1.24861459309999991e+04,8.30188570864226705e+00,1.17237536033791621e+01
7632,1,7.38379383660200972e+00,1,1.25451234019999993e+04,8.53073376714458753e+00,1.13939012752785125e+01
7680,1,1.64170476776454635e+01,0,1.25594906830000000e+04,8.39587043689962975e+00,1.15279601225749140e+01
7728,1,2.25636793223141900e+01,0,1.25738534870000003e+04,8.38867897236842452e+00,1.16240989845347169e+01
7776,1,5.45335842166050710e+00,0,1.25882078419999998e+04,8.48431642696426813e+00,1.14332786855961288e+01
7824,1,1.07586591088126937e+01,0,1.26025627089999998e+04,8.37253318874596708e+00,1.15643226958623675e+01
7872,1,1.46063394321299640e+01,0,1.26169200689999998e+04,8.36048881096013830e+00,1.16694447265383978e+01
